particle n.微粒,极小量
dodge v. /n. 避开, 躲避
gospel n.  〈圣经·新约〉福音书
ductless a.  无导管的
garland n.  花环 vt.  戴花环
recreate v.  (使)得到休养, (使)得到娱乐
uncritical a. 无批判力的,不加批判的
resonator n.  共鸣器
jewett n. 朱厄特（姓氏）
chaotic a.  混乱的, 无秩序的
fen n.  沼泽, 沼池
pretension n.  借口, 要求, 自负
remuneration n.  报酬
expressiveness n.  表现, 表示
scant a.  缺乏的,不足的 v. 节省,减少
pancreatic a. 胰的,胰腺的
pancreas n.  [解]胰腺
celebratory a. 快乐的
digestion n.  消化力, 领悟
endocrinology n.  内分泌学
intestinal a. 肠的
secretin n.  分泌素
hamlin n. 哈姆林（姓氏）
crustacean a.  甲壳类的 .n. 甲壳纲动物
consultant n.  顾问, 商议者, 咨询者
lobster n.  龙虾
bliss n.  福佑, 天赐的福 .v.狂喜
empress n.  皇后, 女皇帝, 皇太后, 极有权力的女人
pomegranate n.  [植]石榴
spatter v.  溅污 n.  滴落
refurbish vt.  再磨光, 刷新
mottle vt. 使有斑点 n.  杂色, 斑点
idealization n.  理想化, 理想化的事物
fidelity n.  忠实, 诚实, 忠诚, 保真度, (收音机, 录音设备等的)逼真度, 保真度, 重现精度
appreciably ad.  略微, 有一点
immensely ad. 极大地,无限地
interdependent a. 相互依赖的,互助的
understandably ad.  可理解地
emblem n.  象征, 徽章 .vt.  用象征表示
lyrical a.  抒情诗调的, 充满感情的
yuan n.  元(中国货币单位)
victimize vt.  使牺牲,使受害
uppermost a./ad. 至上的，最高的
cheater n.  骗子, 欺诈者, 背叛者
siliceous a. 硅酸的；硅土的
ape n.  猿
suburban a.  郊外的, 偏远的
edible a.  可食用的
discontent n.  不满. a.不满的. vt.使不满
tressed a. 有一绺绺长发的
bongo n.  非洲产大羚羊, 一种用手指敲的小鼓
recital n.  朗诵, 背诵, 独奏会
out-of-date a.过时的,过期的
woodwind n.  木管乐器
unsuccessful a. 不成功的,失败的
seeker n.  搜索者, 探求者
unfavorably ad. 不利地,不适宜地
chronological a. 按年代顺序排列的
pylon n.  塔门, 路标塔
decease n.  死亡 .vi.死
cult n.  祭仪, 礼拜式
dilemma n.  进退两难的局面, 困难的选择
militant a.  好战的. n.好斗者
federalist n. 联邦党,联邦制拥护者
biographical a. 传记的,传记体的
sonar n.  声纳, 声波定位仪
perennial a.  终年的, 长期的
infiltration n.  渗透
breakage n.  破坏, 破损, 破损量
apace ad.  快速地, 急速地
herbicide n.  除草剂
compactness n.  紧密, 简洁
springboard n.  跳板. vi.利用跳板
genu n.  膝
localization n.  地方化, 局限, 定位
airborne a.  空运的, 空气传播的
rarity n.  稀有
fend v.  保护, 供养
beneficiary n.  受惠者, 受益人
cross-hatching a.垂直交叉的
genotype n.  基因型
good-quality a. 良好品质的
affordable a. 负担得起的
myxoma n.  [医]粘液瘤
importation n.  进口, 输入品
intaglio n.  凹雕, 阴雕. vt. 凹雕
elaboration n.  苦心经营, 详尽的细节
congenital a. 先天的,天生的,天赋的
blockage n.  封锁, 妨碍
photodissociation n.  [物][化]光离解,光解 (作用)
survivor n.  生还者, 残存物
uninhabited a. 无人居住的,杳无人迹的
aphid n.  [动]蚜虫
miami n.  迈阿密(美国佛罗里州达东南部港市)
paralyze vt.  使瘫痪, 使麻痹
articulate a.  有关节的, 发音清晰的 v.  用关节连接, 接合
airway n.  空中航线, 通风孔
outgassing n. 除气 v. 除气 a. 释气的
overrun n.  泛滥成灾 v.  超过, 泛滥
netherland n. 荷兰
incorrectly ad. 错误地,不适当地
athens n.  雅典(希腊首都)
tollgate n.  征收通行税的关卡, 关门
bravely ad.  勇敢地
tellurium n.  碲(两性金属元素,  符号te)
impressively a. 令人难忘地,  令人印象深刻地
overkill n.过度的杀伤威力.v.超量杀伤
athenian n. /a.雅典(人)(的)
milligram n.  毫克
supplier n.  供应者, 补充者
closeness n.  紧闭, 狭窄
stately a.  庄严的, 堂皇的
infinitesimally ad.  极小地
viability n.  生存能力
lyric n.  抒情诗, 歌词
uranus n.  天王星
keelboat n.  一种河船
manageable a. 易处理的，易管理的
metaphor n. 隐喻, 暗喻
disaffection n.  不满
requisition n.正式请求；征用
reprint v.  再版
entwine v.  (使)缠住, (使)盘绕
impermeable a.  不能渗透的
condenses v.   浓缩,  压缩
looseness n.  松开, 解除
governmental a.  政府的
auction n.／ vt.拍卖
successively ad. 一个接一个地
romanize v.  古罗马化, 用罗马字书写
permeate v. 弥漫, 渗透
teacup n.  茶杯
allay vt.  减轻, 减少
characterization n.  描述, 人物之创造
earthen a.  土制的, 陶制的
insistence n.  坚持, 坚决主张
whence ad.从何处；从那里
nonporous a.无细孔的
turnover n.翻转,营业额
southernmost a. 最南的
landless a.无土地的，无陆地的
enhancement n.  增进, 增加
memorize v.记住, 记忆
indeterminate a.不确定的, 含混的
unbalance v.使失衡,使精神紊乱n.失衡
conclusively ad. 最后地, 确定地
fortuitous a.偶然的, 幸运的
hieroglyph n.  象形文字, 图画文字
admirable a.令人钦佩的,令人赞赏的
democratization n.  民主化
upheaval n.  剧变
inflection n.  变形
radiometric a. 辐射测量的,  辐射度的
balkan n./a.  巴尔干半岛(的)
thwart vt.阻挠
hieratic a.  僧侣的, 僧侣用的
fibrous a.  含纤维的, 纤维性的
pedagogic a.  教师的, 教育学的, 教授法的
floe n.  大浮冰, 浮殡冰块
bony a.  多骨的, 瘦骨嶙峋的
synonym n.  同义字
conductivity n.  传导性, 传导率
physiology n.  生理学
miocene a.  中新世的, 中新统的
eletricity n.  电, 电学
depiction n.  描写, 叙述
groom vt.刷洗 n.新郎；马夫
prickly a.  多刺的
recurrent a.   再发生的, 周期性的
monoid n.  独异点
affront v.侮辱，冒犯
harper n.  弹竖琴者, 竖琴师
discernible a.可辨别的
maine n.  缅因州(美国东北角的州)
fad n.  时尚, 一时流行的狂热
catchment n.排水,集水
underscore vt.画底线
tambourine n.  小手鼓
fluidity n.  流动性,变移性
ongoing a.  正在进行的
unhindered a.无阻的, 不受阻碍的
almanac n.  历书, 年鉴
breathtaking a. 令人赞叹的,  壮观的
coniferous a.松类的,  结球果的
loyalist n.  忠诚的人, 反对独立者
incoming a.  引入的
unpredictably ad.  不可预见地,  不能预料地
scraping v./n.刮，擦
reorganize v.改组, 整顿
turkic n.  土耳其语(的), 土耳其语系者(的)
immature a.  不成熟的, 未完全发展的
momentarily ad.  暂时地, 立刻地
overconfident a. 自负的, 过于自信的
expansionist n./a.  扩张主义(的)
crowbar n.  撬棍, 铁橇
interdependence n.  互相依赖
lifeway n.  生活(方式)
inappropriate a. 不适当的, 不合宜的
residue n.残渣, 剩余物
enterprising a.  有事业心的, 有进取心的
moisten vt.  弄湿 vi.  变潮湿
medicinal a. 药物的，治疗的
tribespeople [复]n.部落(或宗族等)成员
unattractive a.无魅力的, 无吸引力的
crucible n.  坩锅, 严酷的考验
misty a.有薄雾的
unbreakable a.不易破碎的, 牢不可破的
intermittently ad. 间歇地
flotation n.  浮选
healthful a.  有益健康的
hydration n.水合作用
leafcutter n.[昆]南美切叶蚁
zagros n.扎格罗斯山脉[伊朗西南部]
segregate v.  隔离
unconsciously ad.无意识地；不觉察地
forebear n.  祖先, 祖宗
topography n.  地形学
clergyman n.  牧师, 教士
perm v. /n.电烫（头发）
haiti n.  海地
disintegrate v.分裂成小片，瓦解
moody a. 易怒的, 情绪化的
awesome a.可怕的, 表示敬畏的
kink n. 结 v. 纠结,纽绞
hydroelectric a.  水力电气的
favorably ad. 赞同地, 亲切地
preferably ad.更好地,宁愿
encase v.把...装入箱中,包起
driveway n.  车道
hermit n.  隐士, 隐居者
pathway n.  路, 径
guideline n.  方针
lvory n.  象牙
deluge n.  洪水, 豪雨
deep-sea a.深海的, 远洋的
minutely a.每分钟的,持续的
landlocked a.陆地包围的, 内陆水域的
rape n./v.掠夺, 强奸
monolithic n.  单片电路, 单块集成电路
cohesiveness n. 粘合, 凝聚性
peculiarly ad.   古怪地,  特有地
oceanographic a.  海洋学的
congestion n.  拥塞, 充血
engender v.  造成
workplace n.   工作场所
meticulous a.一丝不苟的, 缜密的
impermanence n.  暂时, 无常
impenetrable a.  不能穿过的, 不可理喻的
expendable n.  消耗品, 可牺牲的
high-powered a.  马力大的, 精力充沛的
undeniable a. 不可否认的, 无可辩驳的
incur v.  招致
land-based a.  以地面为基地的
backbreaking a.非常辛苦的,极累人的
commercialize v.  使商业化
landsman n.  同胞,同乡
albedo n.  [天文](星体)反照率
verbalizable a.  可用言辞表达的
incompatibility n.  不两立, 不相容
gist n.  要点, 要旨
doll n.  洋娃娃, 玩偶
forefront n.  最前部, 最前线
classicism n.  古典主义,古典风格
foresight n.  远见, 深谋远虑
infertile a.  贫瘠的, 不能生育的
horticultural a.   园艺的
parcel n. 包裹 vt.  打包, 捆扎
hospitalize vt.  就医,  使住院
scanty a.  缺乏的,不足的
verbally ad.  用言辞地, 口头地
juicy a.多汁(液)的
physiologically ad. 生理上, 在生理学上
chipmunk n.  [动] 花栗鼠
jay n.松鸡；鸟
stereotype n.老套，固定模式
necessitate v.  成为必要
circumstantially ad.  因情形地,  附随地
repute n.  名誉, 名声 v.  认为
grizzly a.灰(白)色的
americanism a. 美国所创, 美国风俗, 美国精神
implicate vt. 含意, 暗示
shortwave n.  短波
processor n.加工业者；处理机
fleshy a.肉的, 多肉的
fallout n.  辐射微尘, 原子尘, 附带结果
pluralism n.  复数, 兼职
alumnus n.  男毕业生, 男校友
heritage n.  遗产, 继承权
tenet n.  原则
logger n.  樵夫, 圆木装车机
geochemical a.  地球化学的
cloudlike a.云雾状的
aide n.助手, 副官
vegetative a.  植物生长的,植物人状态的
quickest a.   最快的
overgrow v.  长满
enlargement n.  放大
idiomatic a. 地道的 成语的
chromosphere n.  色球
nonproductive a.  非生产性的
caliber n.  口径, 才干
photosphere n.  光球
millet n.  [植]稷, 粟
intimacy n.  亲密, 隐私
coalescence n.  合并, 接合
tantamount a.同等的,相当于
preen v.整理羽毛，(人)打扮修饰
marvelously ad.  奇迹般地,奇异地
cavalry n.  骑兵
unacceptable a.不能接受的, 不受欢迎的
unprofitable a.  没有利润的, 无益的
fray n.吵架.v.磨破，恼火
reradiate vt.   再辐射(转播)
tinge n.(清淡的)色调 vt.给…着色
fanners n. 电风扇,通风机
attractiveness n.   魅力,  吸引力
unparalleled a.  无比的, 空前的
contamination n.污染, 污染物
dyestuff n.  染料
disadvantageous a.  不利的
southerner n.  南方人, 居住在南方的人
drab a.  土褐色的, 单调的
resourcefulness n.  足智多谋
micronesian n./a.  密克罗尼西亚人(的)
outrigger n.(承力外伸)支架
ere pron./conj.在….之前
usable a.[亦作useable] 可用的, 合用的
anew ad.  重新, 再
ironically ad.具有讽刺意味地；嘲讽地
genre n.  类型, 流派
visually ad.  在视觉上地, 真实地
primacy n.  首位
sago n.  西米, 西米椰子
breadfruit n.  面包果树
taro n.  芋头
sugarcane n.  [植]甘蔗
predetermine v.  预先确定
hazardous a.  危险的, 冒险的
unsuspected a. 未知的, 未被怀疑的
nitrate n.  [化]硝酸盐, 硝酸钾
exportation n.  出口
extremity n.极度，绝境
converse vi.交谈 n.反面说法 a.相反的
grounding n.基础训练, 染色的底色, [电]接地
spillage n.  溢出, 溢出量
redesign v./n.重新设计
citizenry n.  公民成市民(集合称)
scenario n.剧情说明书，剧本
wad n. 填料 vt. 填塞
smelter n.熔炉, 熔炼工
crook v.使弯曲
pennycress n.  [植]菥蓂
hydroponically n. 水耕法,  水栽培
petiole n.  叶柄, 柄部
conveniently ad.方便地；合宜地
paramount a.  极为重要的
shoshone n.美国休休尼族印第安人;休休尼语
oxfordshire n.牛津郡[英国]
isle n. ( 小)岛
gaslit a. 以煤气灯照明的
londoner n.  伦敦人
microbe n.  微生物, 细菌
tepee n.  美国印第安人的圆锥形帐篷
pawnee n. 波尼族人(语)
experimenter n.  实验者
inter vt.  埋葬
inanimate a.无生命的
commentary n.  注释, 解说词
handsomely ad. 漂亮地,慷慨地
outcrop n.  露出地面的岩层
parish n.  教区
nucleic a.核的
pavement n.  人行道, 公路
avid a.  渴望的
timescale n.  时标,  时间量程
totality n.全部，总数
emigration n.  移民出境, 侨居
patriarch n.  家长, 族长, 创办人
grandeur n.  庄严, 伟大
detritus n.  碎石
abound v.   富于,  充满
lipid n. 脂质, 油脂
smoky a.  冒烟的, 烟状的
confer v.  授予, 协商
primeval a.  原始的, 早期的
viral a.  滤过性毒菌的
subtraction n.  减少
concentric a.  同中心的, 同轴的
iconography n.  肖像学, 肖像画法
mite n.  微小的东西,
innate a.  先天的, 天生的
indigenous a. 本地的, 天生的
remnant n.  残余, 剩余
toehold n.（攀岩时的）立足点,（发展的）起点
eon n.  永世, 无数的年代
planetary a.  行星的
cuspidor n.  痰盂
activist n.  激进主义分子, 行动主义分子
hue n.色彩，色调
weakly a./ad.  虚弱地, 软弱地
doorknob n.  门把手
incessant a.   不断的,  无尽的
tieback n.  牵索,  拉条
afloat a./ad.飘浮的, 传播的
mistrust n./v.不信任, 猜疑
interviewer n.  会见者
affectional a.  情感上的,  爱情的
southerly a.向南方的 ad.  在南方
covering n.  遮盖物
shopper n.  购物者
correspondingly ad.相应地
varicolored a.  杂色的,  多色的
psychoanalyst n.  心理分析学者
stagecraft n.编剧才能,演出技术
lifeblood n.  生命必须的血液, 活力的源泉
autobiography n.  自传
bedpan n.  便盆, 睡床用脚炉
streak n.条纹vi.疾驶 vt.加条纹
duet n.  二重奏
sentimentalized v.  流于感伤,  变多愁善感
rentable a.  可出租的
voluminous a.  卷数多的,大量的
stint v.  紧缩,节省
wand n.魔杖；[乐]指挥棒
cud n.  反刍的食物
inhibition n.  禁止, 阻止
chomp v.大声地咀嚼, 反复咀嚼
civic a.  市的, 市民的
inconsistency n.  矛盾
perceivable a.可知觉的
posit v.  安置
incompletely ad.不完全地
subjugate v.使屈服，征服
lamina n.  薄板, 薄层
uniformitarianism n.  [地质]均变论
contributory a.  贡献的, 捐助的
ration n.定额, 定量
exponent n.阐述者,倡导者
intellectually ad. 理智地, 与智力(或思维)有关地
concoct vt.编造；调制
leaning n.  倾斜, 倾向
seclusion n.  隔离
vulnerability n.  弱点, 攻击
candid a.率直的, 坦诚的
puritan n.  清教徒 a.  清教徒的
regurgitate v.  反刍,（液体）回流
ruminate v.  反刍, 沉思
milkweed n.  乳草属植物
divergent a. 分歧的,分开的, 偏离的
unproven a.  未经证明的, 未经检验的
permafrost n.  [地]永久冻结带
stocky a.  矮壮的, 健壮结实的
convergence n.  集中, 收敛
conceivably ad. 可想到地, 想象中
venice n.  威尼斯(意大利港市)
tiffany n.  纱的一种
uproot vt.  连根拔起, 根除
unnatural a.  不自然的, 反常的
powerfully ad. 非常地,强有力地
nursing n.  看护, 养育
enamel n.  珐琅, 瓷釉
gossamer n.蛛丝，薄纱  a.轻而薄的
unnecessarily ad. 不必要地,  徒然
monogamous n.  一夫一妻的, 单配的
unwieldy a.笨重的，笨拙的
coloration n.  染色, 着色
butler n.  仆役长, 男管家
caribbean n.  加勒比海
anatomy n.  剖析, 解剖学
flop vi.猛落，惨败
genuinely ad.   真正地,  由衷地
flint n.  打火石, 燧石
vicissitude n.  变迁兴衰
suitably ad.  合适地, 适宜地
colorless a.  无色的, 无趣味的
cider n.  苹果酒
bard n.  吟游诗人
presage n.  预兆 v.  预示
flatboat n.  (浅水)平底船
peal n.钟声  v.(使)鸣响
mow v.割(草)
professionalism n.职业水准或特性, 职业化
monochrome n.  单色 单色的
incessantly ad.不间断地
damper n.风阀, 减音器
lightweight n.  轻量级选手, 不能胜任者
polychrome a.  彩饰的 n.  多彩艺术品
coriander n.  [植]胡荽
tedium n.  厌烦, 沉闷
foothill n.  山麓小丘, 丘陵地带
momentous a.重要的, 重大的
chateau n.  城堡
provincialism n.  地方风尚
husk n.外壳；v.剥壳,削皮
emigrant n.  移居外国者, 移民
quitter n.  轻易停止的人, 懦夫
unsettle v.  不安
feasibility n.  可行性, 可能性
unending a.不断的, 不断重复的
eradication n.  连根拔除, 根除
disapproval n.  不赞成
upriver a.  上游的 ad.  在上游
reorient v. 重定 ... 的方向(或方位)
portend v.  预示
neatness n.  整洁, 干净
nonnative n.  非本地的,  非本地人
chug n.轧轧响声.v.发出轧轧声.
intercommunity n.  共同性, 共有
townspeople n.  市民, 镇民
utopian a.乌托邦式的，梦想的
intensely ad.激烈地；热切地
biogeochemical a.  生物地球化学的
loder n.[计]装填器
homespun n.  手织物
unwelcome a.  不受欢迎的, 讨厌的
avoidable a.  可避免的
predetermined a.  预订的
unselective a.非选择性的
sensitively ad.  易感知地,  神经过敏地
authenticity n.  确实性, 真实性
discredit v.怀疑  n.丧失名誉
superorganisms n. [生]超个体(指群居昆虫等的群体)
exclusion n.  排除, 除外
floodplain n. 泛洪平原, 漫滩
preservative n.  防腐剂
sill n.基石(岩床底面)
insightful a.  有深刻见解的, 富有洞察力的
misdeed n.  罪行, 犯罪
salmonberry n. 美洲大树莓
optimization n.  最佳化, 最优化
snugly ad.  舒适温暖地, 整洁地
dripstone n. 滴水石
counterexample n.  反例
dapple n. 斑纹, 斑点.v. (使）有斑纹
multifaceted a. 多层面的
alluvial a.  冲积的, 淤积的
welt n. 鞭痕, 贴边vt. 贴边于
rootless a.  无根的, 无根据的
fecund a.  生殖力旺盛的, 多产的
proliferation n.  增殖, 分芽繁殖
loam n. 肥土
petticoat n.  衬裙, 裙子
stratify vt.  (使)成层
basketwork n.  编织物
commercialization n.   商品化
acidity n.  酸度, 酸性, [医]酸过多, 胃酸过多
intently ad.  专心地, 集中地
diligence n.  勤奋
separable a.可分离的, 可分的
thimble n.顶针；嵌环
cyclic a. 循环的,周期性的
buyer n.  买主, 顾客
lop v.剪去, 砍掉
harmfully ad. 伤害地,有害地
boxlike a.  象箱子一样的
amazingly ad. 惊奇地, 惊人地
pinhole n.  针孔, 小孔
admittedly ad. 不可否认的, 公认地
maternal a.  母亲的, 母系的
wintertime n.  冬, 冬季
pliable a.柔顺的
anthropologically  ad.人类学上
cobble n.  圆石,鹅卵石.v.修补
literate a.有读写能力的；有文化修养的
totemism n.对图腾的信仰, 图腾制度
enigmatic a.  谜的, 莫明其妙的
allusion n.  提及, 暗示
proclivity n.  倾向
awkwardly ad.  笨拙地, 无技巧地
contention n.  争夺, 争论
recount v.  叙述
escutcheon n.  有花纹的盾, 锁眼盖, 孔罩
horticulturalist n.   园艺家
reunion n.  团圆, 重聚
alphabetically ad.按字母表顺序地
carelessly ad.粗心地；疏忽地
supermodel n.  超级名模
brusquely ad.唐突地, 粗率地
stubble n.短须, 麦茬
flout vt./n. 轻视, 嘲笑
chihuahua n.  吉娃娃(一种产于墨西哥的狗)
morphological a.形态学的
reactive a.反应的, 反作用的
philippine a.  菲律宾的, 菲律宾人的
geothermally a.  地热的
inflow n.  流入, 流入物
subfreezing a. 低于冰点的
anthropomorphism n.拟人论,拟人观
slot n.狭缝；空位
confinement n. 限制, 禁闭
centrally ad.  在中心, 在中央
adversity n. 灾祸, 逆境
imaginative a.富有想象力的
incapacitated vt.使不能
onslaught n.  冲击
industrialist n.  工业家, 实业家,
soloist n.  独奏者, 独唱者
interstitial a.  空隙的, 裂缝的,
intertidal n./a.潮间带(的)
distill v. 蒸馏, 滴下, 吸取
pony n.矮种马，小马
intertwine v.(使)纠缠,(使)缠绕
morale n.  士气, 民心
buddy n.<美口>密友, 伙伴
pristine a.  质朴的
sludge n.  软泥, 淤泥
hallmark n.  特点
beau n.花花公子
vibrato n.颤音, 振动
blackbird n.  山鸟类
rhythmic a.  节奏的, 合拍的
waling n. 横撑
lacuna n.  空白, 空隙
enigma n.  谜, 难以理解的事物
tendon n.  [解]腱
fiddler n.  拉提琴的人,游手好闲的人
mortise n.榫眼  v.用榫接合
carnival n.  狂欢节, 饮宴狂欢
assemblage n. 集合, 集会
dedication n.  贡献, 奉献
qualitatively ad.  质量上
redwing n.  [动](欧洲产的)红翼鸫
vigilance n.  警戒, 警惕
adventurous a.冒险的；惊险的
telltale a.泄密的
ordinance n.法令，条例
tether n.  范围
syrup n.  糖浆, 果汁
gild v.  镀金
ductile a. 易延展的, 易教导的
anonymous a.无名的；匿名的
sewerage n.  排水设备, 污水
dissolution n.  分解, 解散
urbanity n.  有礼貌, 文雅
avoidance n.  避免
permineralization n.完全矿化
amenable a.顺从的；对…负有责任(义务)的
binge n.  狂闹, 狂欢
quicksand n.  流沙, 敏捷
modernization n.  现代化
malleable a.  有延展性的, 可锻的
einkorn n.  单粒小麦
unanticipated a. 不曾预料到的
pistachio n.  [植]阿月浑子树
dredge n.  挖泥机 v.  挖掘,
propriety n.  适当
glassware n.  玻璃器具类
affluent a.  丰富的, 富裕的
singleton n.  一个, 独身
nationalistic a.  国家主义的
soothe v.缓和, 安慰
deteriorates v.恶化，变坏
stabilization n.  稳定性
aspire vi.  热望, 立志
joinery n. 木工职业
windswept a.  风刮的, 被风吹扫的
swiftness n.迅速，敏捷
seabird n.  海鸟(如海鸥)
reykjavik n.  雷克雅末(冰岛首都)
polarize v.  (使)偏振, (使)极化
degas vt.  除去瓦斯
utah n.  犹他州(略作ut.,ut)
trickle v.滴流
admiral n.  海军上将, 舰队司令
slat n.板条v.打击
hydrosphere n.  水圈, 水气
geyser n.天然热喷泉
stabilizer n.  稳定器, 安定装置
exoskeleton n.  [动] 外骨骼
dimply a.  有酒窝的, 有凹处的
clamor n.喧闹
reluctantly a.不情愿地；勉强地
overbalance v.  失去平衡
carbonization n.  碳化(物)
marshland n.  沼泽地
viscera n.  内脏,内部的东西
lethal a.  致命的 n.  致死因子
superbly ad.  雄伟地, 壮丽地
oxygen-deficient a.缺氧的
shipwright n.造船者
ghostly a.  可怕的
thrift n.  节俭
conservatism n.  保守主义
leaky a.  漏的
blacken v.  使变黑, 诽谤
fiercely ad.  猛烈地, 厉害地
faultfinding n.  找茬,挑剔
steadfastly ad.踏实地, 不变地
untold a.未说过的,未透露的
intolerant a. 不宽容的, 偏狭的
venue n.  审判地, 集合地
encapsulate v.装入胶囊，压缩
evanescent a.  迅速消失的, 短暂的
archipelago n.  群岛, 多岛海
usefully ad. 有用地
encyclopedia n.  百科全书
multivolume a.  多卷的
supportive a.  支持的
anathema n.  诅咒
patty n.  小馅饼,
workmanship n.  手艺, 技艺
untraditional a. 非传统的,不符合传统的
modernist n.  现代主义者, 现代人
bergere n.围手椅
mainstream n.  主流
photojournalism n.  摄影新闻工作
regionalist n. 地方主义者, 地方主义作家
reportedly ad.  据传说, 据传闻
reachable a.  可达成的, 可获得的
paradox n.  似非而是的论点, 自相矛盾的话
stratosphere n.平流层, 高层次
americana n.  有关美国的文物, 史料
desirability n.  愿望, 希求
inflexibly ad. 不弯曲地, 不屈地
implausible a.难信的, 似乎不合情理的
convincingly ad. 令人信服地, 有说服力地
unwillingness n.  不愿意, 不情愿
generically ad. 属类地, 属类上
stronghold n.  要塞, 据点
drench v.  湿透
industrially ad.  企业[工业]地
vitality n.  活力, 生命力
restatement n.  再声明, 重述
constituency n.  (选区的)选民,  支持者
eclectic a.折衷的.n.折衷主义者
preparedness n.  有准备, 已准备
eyeball n.  眼球, 眼珠子
persuasive n.  说服者a.善说服的
seedy a.多种子的, 结籽的
thoughtfully ad.  思虑地, 仔细地
unbiased a.公正的
plethora n.  过剩,过量
openly ad.  不隐瞒地, 公然地
conditioner n.  调节者, 调节装置
dung n.粪 vt.施粪肥于
substantive a.独立存在的，直接的
replenishment n.  补给, 补充
fanner n.  通风机
globally ad. 世界上, 全世界
invigorate v.  鼓舞
civet n.  [动物]麝猫
setup n.装备, 安装,计划
untrue a.  不真实的, 不正确的
dolphin n.  海豚
rephrase vt.  改述
overproduction n.  生产过剩
moat n.  护城河, 城壕
replica n.  复制品
aridity n.  干旱, 乏味
purge vt.清洗(除) n.清洗
therapist n.  临床医学家
attacker n.  攻击者
regrettable a. 可惜的, 遗憾的
schist n.  [地]片岩
thai n.  泰国人, 泰国语
rime n.  结晶, v.  使蒙霜
regionalist n.  地方主义者
loyally ad.  忠诚
artiste n.  技艺家
symbolically ad.  象征(性)地
misinterprete v.误解
controllable a.可管理的, 可控制的
categorically ad.断然地, 明确地
outwit vt.  瞒骗, 以智取胜
intelligently ad.聪明地；理智地
problematic a.  问题的, 有疑问的
restlessness n. 辗转不安, 烦躁不安
uncarved a. 没雕刻的
macaque n.  短尾猿
fallacy n.  谬误, 谬论
vitascope n.  老式放映机
unfocused a.未聚焦的,无焦点的
anyplace ad.  任何地方
stealthy a.  鬼鬼祟祟的, 秘密的
beng n. 大麻
douse vt.熄灭；浸，洒
silvery a.含银的,银色光泽的
healer n.  医治者, 治病术士
diviner n.  占卜者, 占卦的人
panhandle n.狭长地带 v.乞讨
belter n. 非常好, 出色的例子
foe n. 敌人,危害物
terylene n.  涤纶
humorously ad. 幽默地, 滑稽地
crease n.折缝，皱褶 v.(使)起皱
rayon n. 人造丝, 人造纤维
indigo n.  靛, 靛青
woad n.  [植]菘蓝
needlelike a. 针状的
mote n.  尘埃, 微粒
salal n.  [植](产于北美洲太平洋沿岸的)沙龙白珠树
abnormality n.  变态 畸形
hugely ad.  巨大地, 非常地
acetate n.  [化]醋酸盐
micronutrient n.  [生]微量营养素
turmeric n.  [植]姜黄, 姜黄根, 姜黄根粉末
saffron n.  [植]藏红花
overprint vt./ n.  套印, 印戳
religiously ad.虔诚地, 笃信地
storyteller n.  说故事的人, 作家
ritualize vt.  使仪式化, 奉行仪式主义
teller n.  讲话的人, 告诉的人
abruptness n.唐突,粗鲁
pantomimic a. 哑剧的
slider n.  滑雪者, 滑冰者
subglacial a.冰川下的
cute a.  可爱的, 聪明的
rhythmically ad.  有节奏地
cleverness n. 聪明, 机灵
bombardment n.  炮击, 轰击
lounger n.  漫步的人, 懒人
northward ad.  向北.a.向北的
dugout n.防空洞, 独木舟
moccasin n.  鹿皮鞋, 软拖鞋
chronologically a. 按年代的
activate v.激活, 使活动
episodic a.插曲式的,短暂的
fiord n.  (尤指挪威的)海湾, 峡湾
esteem n.／ vt.尊重，敬重
colosseum n.  罗马圆形大剧场(建于公元80年,耗时5年,至今大部分尚存)
holder n.  持有者, 占有者
achievable a. 做得成的, 可完成的
fixation n.固定, 注视
uncooperative a.不合作的, 不配合的
hub n.中心,轮轴
meteoroid n.  流星体
threadlike a.  线状的
pulp n.酱；果肉；纸浆
sod n.  草地
clench vt.捏紧；紧紧握住
supplementation n.  增补,补充
disrepute n.  坏名声
syndrome n.  综合病症
herein ad.在此处, 此中
sugarlike a.类糖的(糖似的)
survivability n. 残存性
theological a.神学(上)的
dorsal a.  背的, 脊的
irritability n.  过敏性, 兴奋性
neurilemmal a. 神经膜的, 神经鞘的
neuroglia n.  [解]神经胶(质)
concurrent a.一致的；同时的
stratification n.分层, 成层法
microcosm n.  微观世界
unsureness n.  不确定, 缺乏自信
belie v.  掩饰
hesitant a. 迟疑的, 犹豫不定的
sewer n.排水沟，下水道
recrystallize v.  ( 使) 再结晶
anytime ad.  任何时候, 无论何时
intuitive a.有直觉力的，直觉到的
undernutrition n.  营养不良
hohokam a. 霍霍坎文化的
irresponsible a.  不负责任的, 不可靠的
health-crisis n.健康危机
retrospect n.  回顾
chronic a.  慢性的, 延续很长的
flatfish n.  比目鱼
attic n.阁楼
sundial n.日昝仪, 日规
butte n.  孤立的丘
low-cost a.  价格便宜的, 廉价的
uneducated a.没受教育的；文盲的
securely ad.安全地；无疑地
uncorrupt ad.不腐败的;廉洁的
landscapist n.  风景画家
complimentary a.称赞的；免费的
incorporation n.合并；组建公司
sobriquet n.  假名, 绰号
socialize v.  使社会化, 使社会主义化
rename vt.  重新命名, 改名
awaken v.  唤醒, 醒来
afflict vt.  使痛苦, 折磨
governance n.  统治, 管理
methodically ad. 有条不紊地, 有方法地
